도서명,카테고리,AR,작가,출판사,ISBN,설명,메인,상세페이지,검색어
프린세스 캐치 티니핑 Choo-choo! Princess Train (Princess Catch! Teenieping)(세이펜호환/QR음원 포함),"전단도서,추천 스토리북",,SAMG,BOOKMECCA,9791187395300,"프린세스 캐치 티니핑 애니메이션의 1화 에피소드를 바탕으로 제작 및 각색된 영어 스토리북입니다. 쉬운 한 줄 문장과 짧은 대화형 문장으로 쉬운 단계의 영어 레벨로도 즐길 수 있습니다. 세이펜으로 콕 찍어 리딩 음원, 효과음을 함께 감상할 수 있으며 세이펜이 없어도 도서 뒷면의 QR코드를 스캔해 리딩 음원을 감상할 수 있습니다.",https://mecca01.hgodo.com/main/9791187395300_600.jpg,https://mecca01.hgodo.com/goods/9791187395300_a.jpg,티니핑 스토리북
프린세스 캐치 티니핑 Who Are You in the Mirror? (Princess Catch! Teenieping)(세이펜호환/QR음원 포함),"전단도서,추천 스토리북",,SAMG,BOOKMECCA,9791187395317,"프린세스 캐치 티니핑 애니메이션의 2화 에피소드를 바탕으로 제작 및 각색된 영어 스토리북입니다. 쉬운 한 줄 문장과 짧은 대화형 문장으로 쉬운 단계의 영어 레벨로도 즐길 수 있습니다. 세이펜으로 콕 찍어 리딩 음원, 효과음을 함께 감상할 수 있으며 세이펜이 없어도 도서 뒷면의 QR코드를 스캔해 리딩 음원을 감상할 수 있습니다.",https://mecca01.hgodo.com/main/9791187395317_600.jpg,https://mecca01.hgodo.com/goods/9791187395317_a.jpg,티니핑 스토리북
My First Things That Go with 20 Fun-to-Match Cards (세이펜호환/QR음원 포함),전단도서,,PNKBOOKS,PNKBOOKS,9791199319011,우리 아이 첫! 영어 단어책으로 완벽한 마이 퍼스트 시리즈입니다. 탈것과 관련된 40가지 단어와 20가지 매칭 카드를 실사로 만나볼 수 있고 단어와 사진을 세이펜으로 콕 눌러 리딩 음원도 함께 학습할 수 있습니다.,https://mecca01.hgodo.com/main/9791199319011_600.jpg,https://mecca01.hgodo.com/goods/9791199319011_a.jpg,"실사 단어책,마이 퍼스트,탈것들"
My First Words To Know with 20 Fun-to-Match Cards (세이펜호환/QR음원 포함),전단도서,,PNKBOOKS,PNKBOOKS,9791199319028,우리 아이 첫! 영어 단어책으로 완벽한 마이 퍼스트 시리즈입니다. 일상에서 자주 사용하는 40가지 단어와 20가지 매칭 카드를 실사로 만나볼 수 있고 단어와 사진을 세이펜으로 콕 눌러 리딩 음원도 함께 학습할 수 있습니다.,https://mecca01.hgodo.com/main/9791199319028_600.jpg,https://mecca01.hgodo.com/goods/9791199319028_a.jpg,"실사 단어책,마이 퍼스트,단어책"
First 100 Library 7-Book Set,전단도서,,Roger Priddy,Priddy Books,9781684491605,"동물, 탈것, 숫자, 색깔 등 일상에서 자주 접하는 100가지 단어를 주제별로 익힐 수 있는 첫 어휘 그림책 세트입니다. 선명한 이미지와 간단한 구성으로 사물과 영어 단어를 자연스럽게 연결하며, 초기 어휘 학습과 언어 발달에 도움을 줍니다.",https://mecca01.hgodo.com/main/9781684495252_600.jpg,https://mecca01.hgodo.com/goods/9781684495252_a.jpg,"실사 단어책,프리디북스 단어책,퍼스트 100"
The Rainbow Fish Little Library Featuring 9 Classic Board Books,"전단도서,추천 스토리북",,Marcus Pfister,Northsouth books,9780735843981,"아름다운 색감과 따뜻한 메시지로 사랑받는 The Rainbow Fish 이야기를 담은 보드북 컬렉션입니다. 나눔, 우정, 배려를 주제로 한 다양한 이야기를 통해 감정과 사회성을 자연스럽게 접할 수 있으며, 반복해서 읽기 좋은 구성으로 첫 그림책 단계에 적합합니다.",https://mecca01.hgodo.com/main/9780735843981_600.jpg,https://mecca01.hgodo.com/goods/9780735843981_a.jpg,"레인보우피시,레인보우피쉬,스토리북,그림책"
Luna Storytime Projector Classic Stories (카트리지 호환),전단도서,,Cottage Door Press,Cottage Door Press,850075579006,"벽이나 천장에 이야기 장면을 비추는 프로젝터와 내장된 리딩 음원, 배경음악을 동시에 즐길 수 있어요. 버튼을 누르면 그림과 소리가 함께 움직이고 변화하며, 다양한 클래식 동화와 노래가 자동으로 재생돼 아이들이 몰입하며 참여하는 경험을 할 수 있어요. 조작이 간단해 혼자서도 즐길 수 있고, 모두 함께 모여 즐기기에도 좋습니다.",http://mecca01.hgodo.com/main/850075579020_600.jpg,http://mecca01.hgodo.com/goods/850075579020_a3.jpg,"루나,루나스토리타임,루나 스토리타임,프로젝터"
Look & Listen Vehicles Sound Book With 52 Sounds!,전단도서,,Isabel Aniel,North Parade Publishing,9781839239526,"자동차, 비행기, 기차 등 다양한 탈것을 그림과 실제 사운드로 만나볼 수 있는 사운드북입니다. 52가지 생생한 소리를 들으며 탈것의 특징을 익히고, 그림과 소리를 함께 연결하며 관찰력과 어휘력을 키울 수 있습니다.",https://mecca01.hgodo.com/main/9781839239526_600.jpg,https://mecca01.hgodo.com/goods/9781839239526_a.jpg,"탈것들 사운드북,룩앤리슨"
어스본 Peculiar Pop-Ups There's a Hippo in My Toilet! (QR 음원 포함),전단도서,,Sam Taplin,Usborne,9781803703831,"동물들이 등장하는 입체 팝업 그림책으로, 페이지를 펼칠 때마다 다양한 장면과 움직이는 요소를 만날 수 있습니다. 플랩을 열고 그림을 탐색하며 관찰력과 상상력을 키울 수 있으며, QR 음원을 통해 이야기와 소리를 함께 경험할 수 있습니다.",https://mecca01.hgodo.com/main/9781803703831_600.jpg,https://mecca01.hgodo.com/goods/9781803703831_a.jpg,"히포 팝업북,하마 팝업북"
어스본 The Usborne Advent Bookshelf (24 Storybooks) ,"전단도서,추천 스토리북",,Usborne,Usborne,9781803706399,"다양한 명작 동화와 클래식 스토리를 한 권씩 만나볼 수 있는 스토리 컬렉션으로, 매일 새로운 이야기를 읽는 즐거움을 선사합니다. 신데렐라, 피노키오, 잭과 콩나무 등 친숙한 이야기부터 크리스마스 관련 특별한 이야기까지 풍성하게 담아 상상력과 독서 습관을 키우기에 좋습니다.",https://mecca01.hgodo.com/main/9781803706399_600.jpg,https://mecca01.hgodo.com/goods/9781803706399_a.jpg,크리스마스 스토리북
Pete the Cat's Giant Groovy Book (9 Books in 1),"전단도서,추천 리더스",1.3,James Dean,HarperCollins,9780062868305,"영어 읽기를 처음 시작하거나 짧은 문장 읽기에 익숙해지는 단계의 독자에게 추천합니다. 반복되는 쉬운 문장과 리듬감 있는 표현으로 자연스럽게 영어 읽기에 흥미를 느낄 수 있으며, 긍정적인 메시지와 유쾌한 이야기 속에서 어휘력과 읽기 자신감을 키울 수 있습니다. 친근한 캐릭터와 재미있는 스토리가 어우러져 첫 영어 원서 읽기를 시작하기에 좋은 책입니다.",https://mecca01.hgodo.com/main/9780062868305_600.jpg,https://mecca01.hgodo.com/goods/9780062868305_a.jpg,피트더캣 리더스
Disney Princess: Belle's Story Collection (Step into Reading Level 1 & 2)(6 Book in 1),"전단도서,추천 리더스",,Random House,Random House,9780736439169,"영어 읽기를 처음 시작하는 단계의 독자에게 추천하는 리더스로, 친숙한 디즈니 캐릭터와 함께 부담 없이 영어 문장 읽기에 익숙해질 수 있습니다. 쉬운 문장 구성과 반복되는 표현을 통해 기본 어휘와 읽기 자신감을 키우며, 스스로 읽는 즐거움을 경험할 수 있도록 도와줍니다. 영어 파닉스를 익힌 후 짧은 문장 읽기로 넘어가는 단계에 적합한 첫 영어책입니다.",https://mecca01.hgodo.com/main/9780736439169_600.jpg,https://mecca01.hgodo.com/goods/9780736439169_a.jpg,"디즈니 프린세스,디즈니 공주,리더스,공주 리더스,디즈니 리더스"
스콜라스틱 브랜치 Pets Rule! 8-Book Set,"전단도서,추천 챕터북",3.1~3.8,Susan Tan,Scholastic,8781546180258,"사랑스러운 반려동물들이 펼치는 좌충우돌 모험을 담은 초등 저학년용 챕터북 시리즈로, 개성 강한 펫 친구들이 벌이는 코믹하고 빠른 전개의 이야기가 특징이에요. 주인공 개 ‘엠버’와 햄스터, 새 같은 다른 반려동물들이 함께 동네 곳곳에서 벌어지는 문제들을 해결하려고 분투하고, 악동 같은 너구리나 엉뚱한 상대들과 맞서며 웃음과 긴장감이 끊이지 않죠. 그림이 많이 들어가 있어 편하게 읽을 수 있고, 유머와 액션이 어우러져 페이지를 넘길 때마다 웃음이 나오는 재미가 있어요. 읽는 아이들이 펫들의 장난스러운 모험 속에서 자연스럽게 재미와 자신감을 느낄 수 있는 시리즈입니다.",https://mecca01.hgodo.com/main/8781546180258_600.jpg,https://mecca01.hgodo.com/goods/8781546180258_a.jpg,"펫츠룰,펫룰,챕터북"
Dungeon Runners 4 Books Set,"전단도서,추천 챕터북",4.7~5.0,Kieran Larwood,Nosy Crow,8781839945274,"Kit 과 친구들이 몬스터가 가득한 던전을 탐험하며 보물을 찾고 다양한 미션을 해결하는 판타지 모험 이야기입니다. 긴장감 넘치는 전투와 유쾌한 상황 속에서 용기와 협력의 가치를 보여주며, 흥미로운 사건과 빠른 전개로 상상력을 자극합니다. 모험과 판타지를 좋아하는 독자들에게 즐거운 읽기 경험을 제공합니다.",https://mecca01.hgodo.com/main/9781839945274_600.jpg,https://mecca01.hgodo.com/goods/9781839945274_a.jpg,던전 러너스 챕터북
넷플릭스 시리즈 Unicorn Academy 4-Book Set,"전단도서,추천 챕터북",,Unicorn Academy,Nosy Crow,8781805136026,"넷플릭스 시리즈로 사랑받은 Unicorn Academy 의 환상적인 세계를 바탕으로, 소피아와 친구들이 유니콘과 함께 펼치는 마법 같은 모험을 담았습니다. 새로운 도전과 사건을 해결해 나가는 과정 속에서 우정, 용기, 협력의 가치를 자연스럽게 보여주며, 매력적인 캐릭터와 흥미진진한 스토리로 읽는 즐거움과 몰입감을 높여줍니다.",https://mecca01.hgodo.com/main/8781805136026_600.jpg,https://mecca01.hgodo.com/goods/8781805136026_a.jpg,유니콘 아카데미 챕터북
The Highly Classified Spy School Collection 6 Books Set,"전단도서,추천 챕터북",5.2~6.0,Stuart Gibbs,Simon & Schuster,9781534460607,"CIA 요원 훈련 학교에 입학한 벤 리플리가 다양한 임무와 위기 상황을 겪으며 성장합니다. 유머러스하면서도 긴장감 있는 모험과 사건 해결 과정을 통해 추리력, 문제 해결 능력, 팀워크와 위기 대처 능력을 자연스럽게 익히며, 액션과 모험이 가득한 스토리를 따라가며 몰입할 수 있습니다.",http://mecca01.hgodo.com/main/9781534460607_600.jpg,http://mecca01.hgodo.com/goods/9781534460607_a.jpg,"챕터북,스파이,스파이 스쿨"
스콜라스틱 Toddler Jumbo Workbook,전단도서,,Scholastic,Scholastic,9781546108962,"첫 학습을 즐겁게 시작할 수 있도록 구성된 워크북으로, 색칠하기, 쓰기, 숫자와 글자 익히기 등 다양한 활동을 통해 기초 학습 능력을 자연스럽게 키워줍니다. 풍부한 그림과 흥미로운 문제들로 집중력과 창의력을 높이며, 놀이하듯 학습하는 즐거운 경험을 제공합니다. 유아 발달 단계에 맞춘 다양한 활동을 통해 성장하는 아이의 자신감과 학습 습관 형성에 도움을 주는 워크북입니다.",https://mecca01.hgodo.com/main/9781546108962_600.jpg,https://mecca01.hgodo.com/goods/9781546108962_a.jpg,"토들러 워크북,점보 워크북"
Minecraft Young Readers 6 Boos Set (Level 2),추천 리더스,,Mojang,Farshore,8780008699130,"마인크래프트 세계관을 바탕으로 영어 읽기 실력을 기를 수 있도록 구성된 도서입니다. 단계별 문장과 어휘를 통해 독해력과 어휘력을 자연스럽게 익히며, 영어 읽기에 대한 자신감을 키울 수 있도록 도와줍니다. 친숙한 캐릭터와 설정을 활용해 영어 독서를 부담 없이 시작하기에 적합합니다.",https://mecca01.hgodo.com/main/8780008699130_600.jpg,https://mecca01.hgodo.com/goods/8780008699130_a.jpg,"마인크래프트,리더스,레벨2"
Phonics First Steps 8 Book Set (Step Into Reading)(Set 3),추천 리더스,,Jennifer Liberts Weinberg,Random House,9780375825811,"파닉스의 기초를 체계적으로 익힐 수 있도록 구성된 도서로, 다양한 음가와 단어를 단계적으로 학습하며 읽기의 기초를 탄탄하게 다질 수 있습니다. 반복적인 파닉스 패턴과 쉬운 문장을 통해 자연스럽게 발음과 읽기 실력을 향상시키고, 영어 읽기에 대한 자신감을 키울 수 있도록 도와줍니다. 영어 읽기를 처음 시작하는 어린이의 기초 학습에 적합한 도서입니다.",https://mecca01.hgodo.com/main/9780375825811_600.jpg,https://mecca01.hgodo.com/goods/9780375825811_a.jpg,"파닉스,리더스,스텝인투리딩,레벨3"
Barbie: You Can Be... Story Collection (Step Into Reading Level 2)(5 Early Readers!),추천 리더스,,Barbie,Random House,9780593808825,"바비가 다양한 직업을 경험하는 이야기를 통해 영어 읽기와 어휘를 자연스럽게 익힐 수 있습니다. 쉬운 문장과 반복되는 표현으로 독해력을 키우고, 여러 직업을 접하며 진로와 꿈에 대해 생각해 볼 수 있도록 도와줍니다.",https://mecca01.hgodo.com/main/9780593808825_600.jpg,https://mecca01.hgodo.com/goods/9780593808825_a.jpg,"바비,리더스,얼리리더스,스텝인투리딩,레벨2"
My Little Pony: A Magical Reading Collection 5 Book Set (I Can Read!)(Level 1 & 2),추천 리더스,2.9,Hasbro,HarperCollins,9780063063495,"마이 리틀 포니의 다양한 모험과 일상을 담은 이야기를 통해 영어 읽기를 자연스럽게 익힐 수 있습니다. 쉬운 문장과 반복되는 표현으로 어휘력과 독해력을 기르며, 등장인물들의 우정과 협동, 배려의 가치를 함께 배울 수 있습니다. 영어 읽기를 시작하는 어린이가 부담 없이 읽으며 읽기 자신감을 키우기에 좋은 시리즈입니다.",https://mecca01.hgodo.com/main/9780063063495_600.jpg,https://mecca01.hgodo.com/goods/9780063063495_a.jpg,"마이리틀포니,아이캔리드,레벨1,레벨2,리더스"
The Adventures of Thunder and Cluck (3 Books in 1)(Ready-To-Read Graphics)(Level 1),"추천 리더스,추천 그래픽노블",1.7,Jill Esbaum,Simon Spotlight,9781665928106,"썬더와 클럭의 모험을 따라가며 영어 읽기의 기초를 익힐 수 있는 이야기로, 생생한 그림과 짧고 쉬운 문장을 통해 자연스럽게 독해 능력을 키워줍니다. 흥미로운 사건과 캐릭터들의 관계를 통해 어휘와 문장 표현을 익히고, 읽기에 대한 자신감을 높일 수 있도록 도와줍니다. 그래픽 형식의 구성으로 글 읽기에 부담을 느끼는 어린이도 이야기 흐름을 따라가며 즐겁게 영어 독서 습관을 형성할 수 있습니다.",https://mecca01.hgodo.com/main/9781665928106_600.jpg,https://mecca01.hgodo.com/goods/9781665928106_a.jpg,"리더스,레디투리드,그래픽노블,레벨1"
